ClimateZone,Type,.model,Date,TemperatureAnomaly,trend,season_12,remainder,season_adjust
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1978-12-01,-1.29,-0.6338911931606075,0.046088071438941024,-0.7021968782783337,-1.3360880714389411
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-01-01,0.92,-0.6158882775268778,0.23872632070368524,1.2971619568231927,0.6812736792963148
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-02-01,-0.3,-0.5978853618931482,0.4513629676928677,-0.15347760579971947,-0.7513629676928677
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-03-01,0.22,-0.5798824462594185,0.13818835760602427,0.6616940886533943,0.08181164239397573
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-04-01,-1.12,-0.5535134167995192,-0.15666988570941184,-0.4098166974910691,-0.9633301142905882
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-05-01,-1.1,-0.5271443873396198,-0.011783739082755974,-0.5610718735776243,-1.088216260917244
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-06-01,-0.56,-0.5007753578797204,-0.1267708326491511,0.06754619052887145,-0.43322916735084893
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-07-01,-1.16,-0.4746014665885757,-0.588192363893897,-0.09720616951752725,-0.571807636106103
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-08-01,-1.06,-0.448427575297431,-0.0658187054599691,-0.5457537192426001,-0.994181294540031
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-09-01,-0.76,-0.4222536840062863,0.005924442324794084,-0.34367075831850774,-0.7659244423247941
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-10-01,-0.36,-0.37096095286955005,-0.2382215478244502,0.24918250069400028,-0.12177845217554978
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-11-01,-0.08,-0.31966822173281373,0.30582010249966024,-0.06615188076684653,-0.38582010249966026
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1979-12-01,-0.15,-0.26837549059607746,0.06361743583678184,0.05475805475929563,-0.21361743583678183
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1980-01-01,-0.35,-0.19576822901150176,0.2137815284249885,-0.36801329941348676,-0.5637815284249885
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1980-02-01,0.78,-0.12316096742692606,0.441215044023402,0.4619459234035241,0.338784955976598
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1980-03-01,0.34,-0.05055370584235036,0.1396240957176118,0.2509296101247386,0.20037590428238822
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1980-04-01,-0.1,-0.015002554551589158,-0.14190878338808072,0.05691133793966987,0.04190878338808071
Australia,Land,STL(TemperatureAnomaly ~ trend() + season(period = 12)),1980-05-01,0.2,0.020548596739172045,-4.7415243014191605e-4,0.1799255556909699,0.20047415243014194
