.model,Date,extent,trend,season_12,remainder,season_adjust
STL(extent ~ trend() + season(period = 12)),1980-08-01,7.98,12.318357438786038,-4.305206853581591,-0.033150585204445804,12.285206853581592
STL(extent ~ trend() + season(period = 12)),1980-09-01,7.67,12.30543997740033,-5.027523357428622,0.3920833800282928,12.697523357428622
STL(extent ~ trend() + season(period = 12)),1980-10-01,9.18,12.292522516014623,-3.2155592917238383,0.10303677570921543,12.395559291723838
STL(extent ~ trend() + season(period = 12)),1980-11-01,11.38,12.279605054628915,-1.0280981848194444,0.12849313019052921,12.408098184819444
STL(extent ~ trend() + season(period = 12)),1980-12-01,13.59,12.271497385549091,1.1186570953379236,0.19984551911298531,12.471342904662077
STL(extent ~ trend() + season(period = 12)),1981-01-01,14.91,12.263389716469268,2.667252574221913,-0.020642290691180065,12.242747425778088
STL(extent ~ trend() + season(period = 12)),1981-02-01,15.6,12.255282047389445,3.544346524663689,-0.19962857205313433,12.05565347533631
STL(extent ~ trend() + season(period = 12)),1981-03-01,15.63,12.235814312743207,3.684695775824501,-0.2905100885677072,11.9453042241755
STL(extent ~ trend() + season(period = 12)),1981-04-01,15.01,12.216346578096971,3.0016736948936558,-0.20802027299062686,12.008326305106344
STL(extent ~ trend() + season(period = 12)),1981-05-01,13.8,12.196878843450733,1.5101409343978505,0.09298022215141799,12.289859065602151
STL(extent ~ trend() + season(period = 12)),1981-06-01,12.43,12.196893267652344,0.07516385224896867,0.1579428800986875,12.354836147751032
STL(extent ~ trend() + season(period = 12)),1981-07-01,10.27,12.196907691853957,-2.0251157421209043,0.09820805026694757,12.295115742120904
STL(extent ~ trend() + season(period = 12)),1981-08-01,7.84,12.196922116055568,-4.3081145616713945,-0.04880755438417239,12.148114561671395
STL(extent ~ trend() + season(period = 12)),1981-09-01,7.14,12.219448107071454,-5.028829866671383,-0.05061824040007146,12.168829866671382
STL(extent ~ trend() + season(period = 12)),1981-10-01,8.86,12.241974098087338,-3.2113788470504896,-0.1705952510368487,12.07137884705049
STL(extent ~ trend() + season(period = 12)),1981-11-01,10.93,12.264500089103224,-1.017940169948322,-0.3165599191549031,11.947940169948321
STL(extent ~ trend() + season(period = 12)),1981-12-01,13.34,12.28351212224638,1.115926018392701,-0.05943814063908093,12.2240739816073
STL(extent ~ trend() + season(period = 12)),1982-01-01,15.18,12.302524155389534,2.6620085293274895,0.21546731528297514,12.51799147067251
STL(extent ~ trend() + season(period = 12)),1982-02-01,15.97,12.32153618853269,3.5380941240471864,0.11036968742012299,12.431905875952813
STL(extent ~ trend() + season(period = 12)),1982-03-01,16.04,12.348428439308014,3.68036645223563,0.011205108456355362,12.35963354776437
STL(extent ~ trend() + season(period = 12)),1982-04-01,15.47,12.37532069008334,3.002894870573492,0.0917844393431686,12.467105129426509
STL(extent ~ trend() + season(period = 12)),1982-05-01,13.97,12.402212940858664,1.5154622970672802,0.0523247620740559,12.45453770293272
STL(extent ~ trend() + season(period = 12)),1982-06-01,12.48,12.417257400907403,0.07373025073901716,-0.010987651646418684,12.406269749260984
STL(extent ~ trend() + season(period = 12)),1982-07-01,10.37,12.432301860956143,-2.0241188809741977,-0.03818297998194531,12.394118880974197
STL(extent ~ trend() + season(period = 12)),1982-08-01,8.14,12.447346321004881,-4.3161917300972625,0.008845409092382184,12.456191730097263
STL(extent ~ trend() + season(period = 12)),1982-09-01,7.3,12.437028894846769,-5.029185504916621,-0.10784338993014941,12.32918550491662
STL(extent ~ trend() + season(period = 12)),1982-10-01,9.42,12.426711468688657,-3.196094072920719,0.18938260423206188,12.616094072920719
STL(extent ~ trend() + season(period = 12)),1982-11-01,11.63,12.416394042530545,-1.0085036115494297,0.2221095690188868,12.638503611549432
STL(extent ~ trend() + season(period = 12)),1982-12-01,13.64,12.40866852950253,1.1123912787604904,0.11894019173698034,12.52760872123951
STL(extent ~ trend() + season(period = 12)),1983-01-01,14.94,12.400943016474516,2.6558786155313214,-0.11682163200583773,12.284121384468678
STL(extent ~ trend() + season(period = 12)),1983-02-01,16.01,12.3932175034465,3.530875957172206,0.08590653938129478,12.479124042827795
STL(extent ~ trend() + season(period = 12)),1983-03-01,16.09,12.386382902154372,3.674991465031548,0.02862563281408015,12.415008534968452
STL(extent ~ trend() + season(period = 12)),1983-04-01,15.17,12.379548300862243,3.003018956400226,-0.21256725726246906,12.166981043599774
STL(extent ~ trend() + season(period = 12)),1983-05-01,13.49,12.372713699570115,1.5196351436457172,-0.4023488432158313,11.970364856354283
STL(extent ~ trend() + season(period = 12)),1983-06-01,12.3,12.344457272312921,0.07115332874885999,-0.11561060106178012,12.22884667125114
STL(extent ~ trend() + season(period = 12)),1983-07-01,10.57,12.316200845055729,-2.0242601446969104,0.2780592996411819,12.59426014469691
STL(extent ~ trend() + season(period = 12)),1983-08-01,8.19,12.287944417798535,-4.325333570587518,0.2273891527889802,12.515333570587515
STL(extent ~ trend() + season(period = 12)),1983-09-01,7.39,12.260013060417684,-5.030532362421215,0.1605193020035287,12.420532362421213
STL(extent ~ trend() + season(period = 12)),1983-10-01,9.33,12.232081703036833,-3.181660445381058,0.2795787423442242,12.511660445381057
STL(extent ~ trend() + season(period = 12)),1983-11-01,11.46,12.204150345655982,-0.9786432713809335,0.23449292572495217,12.438643271380935
STL(extent ~ trend() + season(period = 12)),1983-12-01,13.3,12.175251512098862,1.096498303117797,0.028250184783340515,12.203501696882203
STL(extent ~ trend() + season(period = 12)),1984-01-01,14.47,12.14635267854174,2.656169530583282,-0.33252220912502395,11.813830469416716
STL(extent ~ trend() + season(period = 12)),1984-02-01,15.3,12.11745384498462,3.5308075555527094,-0.34826140053732857,11.769192444447292
STL(extent ~ trend() + season(period = 12)),1984-03-01,15.58,12.076309660378055,3.682180640215034,-0.17849030059308824,11.897819359784966
STL(extent ~ trend() + season(period = 12)),1984-04-01,15.01,12.035165475771489,2.9973106405880245,-0.0224761163595133,12.012689359411976
STL(extent ~ trend() + season(period = 12)),1984-05-01,13.58,11.994021291164923,1.507234354056424,0.07874435477865305,12.072765645943576
STL(extent ~ trend() + season(period = 12)),1984-06-01,12.15,11.98175140002821,0.06166797571456709,0.10658062425722292,12.088332024285434
STL(extent ~ trend() + season(period = 12)),1984-07-01,9.98,11.969481508891496,-2.0312542180992734,0.04177270920777865,12.011254218099275
STL(extent ~ trend() + season(period = 12)),1984-08-01,7.77,11.957211617754783,-4.343496986679691,0.15628536892490708,12.11349698667969
STL(extent ~ trend() + season(period = 12)),1984-09-01,6.81,11.97627412726286,-5.025864723192964,-0.14040940406989755,11.835864723192962
STL(extent ~ trend() + season(period = 12)),1984-10-01,8.56,11.995336636770936,-3.158121172619588,-0.27721546415134846,11.718121172619588
STL(extent ~ trend() + season(period = 12)),1984-11-01,10.84,12.014399146279013,-0.9481484063800177,-0.2262507398989957,11.788148406380017
STL(extent ~ trend() + season(period = 12)),1984-12-01,12.99,12.018329231381976,1.0809195262925906,-0.10924875767456754,11.909080473707409
STL(extent ~ trend() + season(period = 12)),1985-01-01,14.72,12.022259316484938,2.6564543184377967,0.041286365077265685,12.063545681562204
STL(extent ~ trend() + season(period = 12)),1985-02-01,15.47,12.026189401587901,3.530307010687939,-0.08649641227584048,11.93969298931206
STL(extent ~ trend() + season(period = 12)),1985-03-01,15.89,12.02219750655442,3.6885116561054176,0.17929083734016338,12.201488343894583
STL(extent ~ trend() + season(period = 12)),1985-04-01,15.36,12.018205611520939,2.990335896996812,0.3514584914822496,12.369664103003188
STL(extent ~ trend() + season(period = 12)),1985-05-01,14.07,12.014213716487458,1.4931588682022119,0.562627415310331,12.576841131797789
STL(extent ~ trend() + season(period = 12)),1985-06-01,12.22,12.017979330634944,0.050274779431712414,0.1517458899333448,12.169725220568289
STL(extent ~ trend() + season(period = 12)),1985-07-01,9.74,12.021744944782428,-2.0403892817338414,-0.24135566304858713,11.780389281733841
STL(extent ~ trend() + season(period = 12)),1985-08-01,7.4,12.025510558929914,-4.363770210770051,-0.26174034815986325,11.763770210770051
STL(extent ~ trend() + season(period = 12)),1985-09-01,6.7,12.0189012063774,-5.023275709728885,-0.29562549664851545,11.723275709728885
STL(extent ~ trend() + season(period = 12)),1985-10-01,8.55,12.012291853824884,-3.1363028154650663,-0.3259890383598165,11.686302815465067
STL(extent ~ trend() + season(period = 12)),1985-11-01,11.02,12.00568250127237,-0.9308728615763259,-0.05480963969604424,11.950872861576325
STL(extent ~ trend() + season(period = 12)),1985-12-01,13.05,12.017161565459043,1.116120565143011,-0.08328213060205236,11.93387943485699
STL(extent ~ trend() + season(period = 12)),1986-01-01,14.89,12.028640629645714,2.691809170074159,0.16955020028012768,12.198190829925842
STL(extent ~ trend() + season(period = 12)),1986-02-01,15.78,12.040119693832388,3.537519569712505,0.20236073645510722,12.242480430287495
STL(extent ~ trend() + season(period = 12)),1986-03-01,15.91,12.081985271718045,3.692666573087715,0.13534815519424015,12.217333426912285
STL(extent ~ trend() + season(period = 12)),1986-04-01,15.06,12.123850849603704,2.9468787134241623,-0.010729563027863875,12.11312128657584
STL(extent ~ trend() + season(period = 12)),1986-05-01,13.38,12.165716427489361,1.468532412161962,-0.2542488396513214,11.91146758783804
STL(extent ~ trend() + season(period = 12)),1986-06-01,11.98,12.189438382789548,0.04725379459579837,-0.25669217738534655,11.932746205404202
STL(extent ~ trend() + season(period = 12)),1986-07-01,10.15,12.213160338089736,-2.075157109126012,0.011996771036276499,12.225157109126013
STL(extent ~ trend() + season(period = 12)),1986-08-01,7.98,12.236882293389924,-4.3916520014264995,0.1347697080365755,12.371652001426499
STL(extent ~ trend() + season(period = 12)),1986-09-01,7.41,12.252186819906168,-5.023452191459555,0.18126537155338696,12.433452191459555
STL(extent ~ trend() + season(period = 12)),1986-10-01,9.48,12.267491346422412,-3.131954554324996,0.34446320790258333,12.611954554324996
STL(extent ~ trend() + season(period = 12)),1986-11-01,11.45,12.282795872938657,-0.9084629795426747,0.07566710660401732,12.358462979542674
STL(extent ~ trend() + season(period = 12)),1986-12-01,13.22,12.291084964736,1.155946020321445,-0.2270309850574428,12.064053979678556
STL(extent ~ trend() + season(period = 12)),1987-01-01,14.97,12.29937405653334,2.7312785171365883,-0.0606525736699286,12.238721482863411
STL(extent ~ trend() + season(period = 12)),1987-02-01,16.05,12.307663148330683,3.5481358074583094,0.1942010442110096,12.501864192541692
STL(extent ~ trend() + season(period = 12)),1987-03-01,15.82,12.293159592622287,3.699514352086422,-0.17267394470870734,12.12048564791358
STL(extent ~ trend() + season(period = 12)),1987-04-01,15.21,12.278656036913889,2.9053546243315194,0.025989338754593305,12.304645375668482
