#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1998.87750,-3.83000,,,
1998.90460,-9.93000,,,
1998.93190,-3.73000,,,
1998.95910,-3.03000,,,
1998.98620,0.37000,,,
1999.01330,-3.93000,,,
1999.04050,-6.63000,,,
1999.09480,-10.93000,,,
1999.12560,3.97000,,,
1999.14910,-1.03000,,,
1999.17630,-6.13000,,,
1999.20340,-11.53000,,,
1999.23060,-10.13000,,,
1999.25770,-7.63000,,,
1999.28480,-5.13000,,,
1999.33920,-8.03000,,,
1999.36630,-13.53000,,,
1999.39330,-16.03000,,,
1999.42060,-10.23000,,,
1999.44780,-11.33000,,,
1999.47490,-7.03000,,,
1999.50200,-4.33000,,,
1999.52920,-9.03000,,,
1999.55660,-10.33000,,,
1999.58340,-4.13000,,,
1999.61060,-3.03000,,,
1999.63770,2.07000,,,
1999.69200,-2.73000,,,
1999.71920,1.57000,,,
1999.74620,3.07000,,,
1999.77350,11.57000,,,
1999.80080,10.97000,,,
1999.82780,5.67000,,,
1999.85500,-0.93000,,,
1999.88220,-1.33000,,,
1999.90920,1.67000,,,
1999.96360,7.87000,,,
1999.99070,5.97000,,,
2000.01780,-2.83000,,,
2000.04500,-2.93000,,,
2000.07210,3.67000,,,
2000.09930,0.97000,,,
2000.12640,-1.33000,,,
2000.15360,-4.33000,,,
2000.18070,-9.03000,,,
2000.20780,-9.33000,,,
2000.23500,-0.93000,,,
2000.28940,-2.33000,,,
2000.31650,-8.23000,,,
2000.34360,-12.63000,,,
2000.37070,-12.03000,,,
2000.39780,-8.13000,,,
2000.42500,-3.63000,,,
2000.45220,-4.73000,,,
2000.47940,-7.83000,,,
2000.50650,-9.43000,,,
2000.53370,-5.93000,,,
2000.58790,-1.73000,,,
2000.61490,0.37000,,,
2000.64230,-0.93000,,,
2000.66940,-6.33000,,,
2000.69650,-1.73000,,,
2000.72350,8.07000,,,
2000.75090,13.27000,,,
2000.77800,12.37000,,,
2000.80510,5.07000,,,
2000.85950,4.97000,,,
2000.88600,7.87000,,,
2000.91450,9.57000,,,
2000.94090,6.97000,,,
2000.96810,2.97000,,,
2000.99520,2.67000,,,
2001.02220,2.67000,,,
2001.07660,4.17000,,,
2001.10380,0.67000,,,
2001.13090,-6.23000,,,
2001.15810,-5.33000,,,
2001.18520,0.67000,,,
2001.21240,-0.43000,,,
2001.23950,3.37000,,,
2001.26660,0.67000,,,
2001.29370,-2.63000,,,
2001.32100,-6.73000,,,
2001.34820,-4.93000,,,
2001.37520,0.57000,,,
2001.40240,0.47000,,,
2001.42960,-1.13000,,,
2001.45670,-6.13000,,,
2001.48400,-0.63000,,,
2001.51100,2.27000,,,
2001.53810,7.17000,,,
2001.56530,4.77000,,,
2001.59240,6.77000,,,
2001.61950,0.47000,,,
2001.64680,0.17000,,,
2001.67380,5.67000,,,
2001.70100,15.97000,,,
2001.72830,16.97000,,,
2001.75530,15.17000,,,
2001.78250,7.97000,,,
2001.80960,4.27000,,,
2001.83680,11.87000,,,
2001.86390,16.77000,,,
2001.89180,14.77000,,,
2001.91820,11.17000,,,
2001.94540,4.97000,,,
2001.97250,3.87000,,,
2001.99960,10.57000,,,
2002.02700,7.27000,,,
2002.05370,,0.47000,,
2002.05400,5.27000,,,
2002.08110,3.87000,,,
2002.08190,,6.07000,,
2002.10830,-1.43000,6.67000,,
2002.13520,,6.77000,,
2002.13540,0.07000,,,
2002.16260,4.67000,5.37000,,
2002.18970,5.17000,,,
2002.18980,,-0.83000,,
2002.21680,5.37000,,,
2002.21690,,0.67000,,
2002.24380,,-0.73000,,
2002.24400,-0.33000,,,
2002.27110,-2.33000,,,
2002.27130,,3.97000,,
2002.29830,,-0.43000,,
2002.29880,-6.13000,,,
2002.32540,0.37000,0.27000,,
2002.35250,,-0.13000,,
2002.35270,3.97000,,,
2002.37970,3.67000,1.67000,,
2002.40690,1.37000,0.77000,,
2002.43400,-5.43000,-1.73000,,
2002.46110,-0.93000,1.87000,,
2002.48830,9.07000,4.77000,,
2002.51550,,3.07000,,
2002.54260,6.77000,6.07000,,
2002.56970,4.77000,9.27000,,
2002.59690,4.57000,10.67000,,
2002.62390,8.27000,,,
2002.62400,,12.47000,,
2002.65120,,10.67000,,
2002.65510,13.67000,,,
2002.67830,15.27000,,,
2002.67840,,9.87000,,
2002.70550,,11.07000,,
2002.70640,16.07000,,,
2002.73260,14.37000,,,
2002.73270,,14.77000,,
2002.75980,,13.87000,,
2002.75990,6.97000,,,
2002.78630,15.67000,,,
2002.78690,,18.17000,,
2002.81410,,21.17000,,
2002.81430,23.77000,,,
2002.84130,,13.47000,,
2002.84150,20.67000,,,
2002.86840,19.37000,13.67000,,
2002.89430,,16.97000,,
2002.89620,18.47000,,,
2002.92270,17.67000,15.17000,,
2002.94980,17.47000,14.27000,,
2002.97700,16.77000,10.97000,,
2003.00410,,9.27000,,
2003.00420,16.77000,,,
2003.03120,12.27000,,,
2003.03130,,8.07000,,
2003.05840,12.17000,11.97000,,
2003.08560,6.87000,11.07000,,
2003.11270,11.57000,12.67000,,
2003.13980,8.77000,,,
2003.13990,,6.67000,,
2003.16700,12.67000,,,
2003.16710,,4.37000,,
2003.19420,12.47000,6.07000,,
2003.22120,6.67000,,,
2003.22130,,6.97000,,
2003.24840,6.87000,,,
2003.24850,,5.67000,,
2003.27560,7.07000,,,
2003.27990,,5.57000,,
2003.30280,10.27000,3.17000,,
2003.32990,13.07000,,,
2003.33000,,3.97000,,
2003.35700,14.07000,5.37000,,
2003.38420,9.17000,5.67000,,
2003.41130,,5.57000,,
2003.41140,4.87000,,,
2003.43850,7.27000,2.87000,,
2003.46570,11.97000,3.97000,,
2003.49280,10.27000,2.07000,,
2003.52000,6.87000,3.37000,,
2003.54700,7.97000,,,
2003.54710,,8.07000,,
2003.57410,3.27000,,,
2003.57420,,7.57000,,
2003.60140,11.17000,10.07000,,
2003.62860,13.37000,8.47000,,
